No,Termo de busca,Plataforma,Tipo de modificador,Modificador,Palavra-chave,Idioma,País,Volume,CPC (US$)
141,"la roche posay vitamina C","YouTube","Ordem alfabética","d","serum de vitamina c la roche posay","pt","br","10","-"
142,"la roche posay vitamina C","YouTube","Ordem alfabética","d","vitamina c de la roche posay","pt","br","10","-"
143,"la roche posay vitamina C","YouTube","Ordem alfabética","d","vitamina c10 da la roche posay","pt","br","0","-"
144,"la roche posay vitamina C","YouTube","Ordem alfabética","f","serum vitamina c la roche posay original vs fake","pt","br","0","-"
145,"la roche posay vitamina C","YouTube","Ordem alfabética","o","vitamina c oil control la roche posay","pt","br","10","-"
146,"la roche posay vitamina C","YouTube","Ordem alfabética","o","serum vitamina c la roche posay original vs fake","pt","br","0","-"
147,"la roche posay vitamina C","YouTube","Ordem alfabética","p","vitamina c pura la roche posay","pt","br","90","0.18"
148,"la roche posay vitamina C","YouTube","Ordem alfabética","p","pure vitamina c la roche posay crema","pt","br","10","-"
149,"la roche posay vitamina C","YouTube","Ordem alfabética","s","serum la roche posay vitamina c","pt","br","40","0.17"
150,"la roche posay vitamina C","YouTube","Ordem alfabética","s","la roche posay serum vitamina c 10","pt","br","10","-"
151,"la roche posay vitamina C","YouTube","Ordem alfabética","s","siero vitamina c la roche posay","pt","br","10","-"
152,"la roche posay vitamina C","YouTube","Ordem alfabética","s","vitamina c sesderma vs la roche posay","pt","br","0","-"
153,"la roche posay vitamina C","YouTube","Ordem alfabética","s","serum vitamina c la roche posay original vs fake","pt","br","0","-"
154,"la roche posay vitamina C","YouTube","Ordem alfabética","u","vitamina c la roche posay como usar","pt","br","10","-"
155,"la roche posay vitamina C","YouTube","Ordem alfabética","v","vitamina c la roche posay vs vichy","pt","br","10","-"
156,"la roche posay vitamina C","YouTube","Ordem alfabética","v","vitamina c sesderma vs la roche posay","pt","br","10","-"
157,"la roche posay vitamina C","YouTube","Ordem alfabética","v","serum vitamina c la roche posay original vs fake","pt","br","0","-"
158,"la roche posay vitamina C","YouTube","Comparações","vs","vitamina c la roche posay vs vichy","pt","br","10","-"
159,"la roche posay vitamina C","YouTube","Comparações","vs","vitamina c sesderma vs la roche posay","pt","br","10","-"
160,"la roche posay vitamina C","YouTube","Comparações","vs","serum vitamina c la roche posay original vs fake","pt","br","0","-"
161,"la roche posay vitamina C","YouTube","Números","1","la roche posay serum vitamina c 10","pt","br","10","-"
162,"la roche posay vitamina C","YouTube","Preposições","como","vitamina c la roche posay como usar","pt","br","0","-"
163,"la roche posay vitamina C","YouTube","Perguntas","como","como usar vitamina c la roche posay","pt","br","10","-"
164,"la roche posay vitamina C","YouTube","Perguntas","como","como usar serum vitamina c la roche posay","pt","br","10","-"
165,"la roche posay vitamina C","YouTube","Perguntas","como","como aplicar serum vitamina c la roche posay","pt","br","10","-"
166,"la roche posay vitamina C","YouTube","Perguntas","como","como aplicar la vitamina c de la roche posay","pt","br","0","-"
167,"la roche posay vitamina C","TikTok","Ordem alfabética","b","vitamina b5 la roche posay","pt","br","10","-"
168,"la roche posay vitamina C","TikTok","Ordem alfabética","b","la roche posay vitamina c brightning cleanser","pt","br","0","-"
169,"la roche posay vitamina C","TikTok","Ordem alfabética","l","la roche posay vitamina c limpiador","pt","br","0","-"
170,"la roche posay vitamina C","TikTok","Ordem alfabética","o","la roche posay vitamina c oxidada","pt","br","0","-"
171,"la roche posay vitamina C","TikTok","Ordem alfabética","o","la roche posay vitamina c oil","pt","br","0","-"
172,"la roche posay vitamina C","TikTok","Ordem alfabética","p","pure vitamina c la roche posay","pt","br","10","-"
173,"la roche posay vitamina C","TikTok","Ordem alfabética","p","la roche posay vitamina c parablod ojeras","pt","br","0","-"
174,"la roche posay vitamina C","TikTok","Ordem alfabética","q","que tal es la vitamina c de roche posay","pt","br","0","-"
175,"la roche posay vitamina C","TikTok","Ordem alfabética","t","la roche posay vitamina c test","pt","br","0","-"
176,"la roche posay vitamina C","TikTok","Ordem alfabética","t","la roche posay vitamina c te mantoene joven","pt","br","0","-"
177,"la roche posay vitamina C","TikTok","Números","1","la roche posay vitamina c 12","pt","br","0","-"
178,"la roche posay vitamina C","TikTok","Números","1","la roche posay vitamina c 1","pt","br","0","-"
179,"la roche posay vitamina C","TikTok","Números","1","la roche posay vitamina c 12 pure","pt","br","0","-"
180,"la roche posay vitamina C","TikTok","Preposições","como","vitamina c la roche posay como usar","pt","br","20","-"
181,"la roche posay vitamina C","TikTok","Preposições","para","vitamina c la roche posay para qué sirve","pt","br","0","-"
182,"la roche posay vitamina C","TikTok","Perguntas","como","vitamina c la roche posay como usar","pt","br","20","-"
183,"la roche posay vitamina C","Amazon","Ordem alfabética","c","vitamina c la roche posay","pt","br","1.0K","0.25"
184,"la roche posay vitamina C","Amazon","Ordem alfabética","c","serum vitamina c la roche posay","pt","br","110","0.22"
185,"la roche posay vitamina C","Amazon","Ordem alfabética","c","vitamina c la roche posay 30ml","pt","br","40","0.28"
186,"la roche posay vitamina C","Amazon","Ordem alfabética","c","vitamina c 12 la roche posay","pt","br","0","-"
187,"la roche posay vitamina C","Amazon","Ordem alfabética","c","la roche posay gel de limpeza vitamina c","pt","br","0","-"
188,"la roche posay vitamina C","Amazon","Ordem alfabética","c","vitamina c facial la roche posay","pt","br","0","-"
189,"la roche posay vitamina C","Amazon","Ordem alfabética","c","la roche posay vitamina c creme","pt","br","0","-"
190,"la roche posay vitamina C","Amazon","Ordem alfabética","c","vitamina c facial la roche posay c12","pt","br","0","-"
191,"la roche posay vitamina C","Amazon","Ordem alfabética","d","la roche posay gel de limpeza vitamina c","pt","br","20","0.23"
192,"la roche posay vitamina C","Amazon","Ordem alfabética","f","vitamina c facial la roche posay","pt","br","10","0.14"
193,"la roche posay vitamina C","Amazon","Ordem alfabética","f","la roche posay vitamina c fps 25","pt","br","0","-"
194,"la roche posay vitamina C","Amazon","Ordem alfabética","f","vitamina c facial la roche posay c12","pt","br","0","-"
195,"la roche posay vitamina C","Amazon","Ordem alfabética","f","sabonete facial la roche posay vitamina c","pt","br","0","-"
196,"la roche posay vitamina C","Amazon","Ordem alfabética","f","la roche posay sabonete facial com vitamina c","pt","br","0","-"
197,"la roche posay vitamina C","Amazon","Ordem alfabética","g","la roche posay gel de limpeza vitamina c","pt","br","20","0.23"
198,"la roche posay vitamina C","Amazon","Ordem alfabética","l","la roche posay gel de limpeza vitamina c","pt","br","20","0.23"
199,"la roche posay vitamina C","Amazon","Ordem alfabética","m","vitamina c la roche posay c12 30 ml","pt","br","0","-"
200,"la roche posay vitamina C","Amazon","Ordem alfabética","m","vitamina c la roche posay c10 30 ml","pt","br","0","-"
201,"la roche posay vitamina C","Amazon","Ordem alfabética","m","serum vitamina c la roche posay 30 ml","pt","br","0","-"
202,"la roche posay vitamina C","Amazon","Ordem alfabética","o","la roche posay vitamina c olhos","pt","br","20","0.15"
203,"la roche posay vitamina C","Amazon","Ordem alfabética","o","la roche posay vitamina c oil control","pt","br","10","-"
204,"la roche posay vitamina C","Amazon","Ordem alfabética","o","vitamina c 12 oil control - la roche posay","pt","br","0","-"
205,"la roche posay vitamina C","Amazon","Ordem alfabética","p","la roche posay vitamina c pura","pt","br","70","0.14"
206,"la roche posay vitamina C","Amazon","Ordem alfabética","s","serum vitamina c la roche posay","pt","br","110","0.22"
207,"la roche posay vitamina C","Amazon","Ordem alfabética","s","sabonete facial la roche posay vitamina c","pt","br","0","-"
208,"la roche posay vitamina C","Amazon","Ordem alfabética","s","vitamina c la roche posay pele seca","pt","br","0","-"
209,"la roche posay vitamina C","Amazon","Ordem alfabética","s","la roche posay sabonete facial com vitamina c","pt","br","0","-"
210,"la roche posay vitamina C","Amazon","Ordem alfabética","s","serum vitamina c la roche posay 30 ml","pt","br","0","-"
211,"la roche posay vitamina C","Amazon","Ordem alfabética","s","sabonete la roche posay vitamina c","pt","br","0","-"
212,"la roche posay vitamina C","Amazon","Números","1","la roche posay vitamina c 10","pt","br","90","0.15"
213,"la roche posay vitamina C","Amazon","Números","1","vitamina c 12 la roche posay","pt","br","20","0.15"
214,"la roche posay vitamina C","Amazon","Números","1","vitamina c la roche posay 15ml","pt","br","0","-"
215,"la roche posay vitamina C","Amazon","Números","1","vitamina c 12 oil control - la roche posay","pt","br","0","-"
216,"la roche posay vitamina C","Amazon","Números","2","la roche posay vitamina c fps 25","pt","br","0","-"
217,"la roche posay vitamina C","Amazon","Números","3","vitamina c la roche posay 30ml","pt","br","40","0.28"
218,"la roche posay vitamina C","Amazon","Números","3","vitamina c la roche posay c12 30 ml","pt","br","0","-"
219,"la roche posay vitamina C","Amazon","Números","3","vitamina c la roche posay c10 30 ml","pt","br","0","-"
220,"la roche posay vitamina C","Amazon","Números","3","serum vitamina c la roche posay 30 ml","pt","br","0","-"
221,"la roche posay vitamina C","Amazon","Preposições","com","la roche posay sabonete facial com vitamina c","pt","br","0","-"
